"Genes"	"Synonyms"	"Accession-1"	"Accession-2"	"Names"	"Object ID"
"THI3"	"KID1"	"THI3"		"THI3" // "KID1" // "THI3"	"YDL080C"
"THI4"	"MOL1" // "ESP35"	"YPR144W"		"THI4" // "MOL1" // "ESP35" // "YPR144W"	"G3O-154"
"THI5"	"YFL058W"	"YFL058W"		"a 4-amino-2-methyl-5-phosphomethylpyrimidine synthase" // "YFL058W" // "YFL058W"	"G3O-30409"
"THI6"		"THI6"		"THI6" // "THI6"	"YPL214C"
"THI7"		"YLR237W"		"THI7" // "YLR237W"	"G3O-32346"
"THI72"		"YOR192C"		"THI72" // "YOR192C"	"G3O-33701"
"THI73"		"YLR004C"		"THI73" // "YLR004C"	"G3O-32165"
"THI74"		"YDR438W"		"THI74" // "YDR438W"	"G3O-29972"
"THI80"		"THI80"		"THI80" // "THI80"	"YOR143C"
"THO1"		"YER063W"		"THO1" // "YER063W"	"G3O-30238"
"THO2"		"YNL139C"		"THO2" // "YNL139C"	"G3O-33158"
"THP1"		"YOL072W"		"THP1" // "YOL072W"	"G3O-33477"
"THP2"		"YHR167W"		"THP2" // "YHR167W"	"G3O-31201"
"THP3"		"YPR045C"		"THP3" // "YPR045C"	"G3O-34200"
"THR1"		"THR1"		"THR1" // "THR1"	"YHR025W"
"THR4"		"THR4"		"THR4" // "THR4"	"YCR053W"
"THS1"		"YIL078W"		"THS1" // "YIL078W"	"G3O-31343"
"tI(AAU)B"		"tI(AAU)B"		"tI(AAU)B" // "tI(AAU)B"	"G3O-29238"
"tI(AAU)D"		"tI(AAU)D"		"tI(AAU)D" // "tI(AAU)D"	"G3O-30063"
"tI(AAU)E1"		"tI(AAU)E1"		"tI(AAU)E1" // "tI(AAU)E1"	"G3O-30371"
"tI(AAU)E2"		"tI(AAU)E2"		"tI(AAU)E2" // "tI(AAU)E2"	"G3O-30372"
"tI(AAU)G"		"tI(AAU)G"		"tI(AAU)G" // "tI(AAU)G"	"G3O-30971"
"tI(AAU)I1"		"tI(AAU)I1"		"tI(AAU)I1" // "tI(AAU)I1"	"G3O-31464"
"tI(AAU)I2"		"tI(AAU)I2"		"tI(AAU)I2" // "tI(AAU)I2"	"G3O-31465"
"tI(AAU)L1"		"tI(AAU)L1"		"tI(AAU)L1" // "tI(AAU)L1"	"G3O-32542"
"tI(AAU)L2"		"tI(AAU)L2"		"tI(AAU)L2" // "tI(AAU)L2"	"G3O-32543"
"tI(AAU)N1"		"tI(AAU)N1"		"tI(AAU)N1" // "tI(AAU)N1"	"G3O-33386"
"tI(AAU)N2"		"tI(AAU)N2"		"tI(AAU)N2" // "tI(AAU)N2"	"G3O-33387"
"tI(AAU)P1"		"tI(AAU)P1"		"tI(AAU)P1" // "tI(AAU)P1"	"G3O-34339"
"tI(AAU)P2"		"tI(AAU)P2"		"tI(AAU)P2" // "tI(AAU)P2"	"G3O-34340"
"tI(GAU)Q"		"tI(GAU)Q"		"tI(GAU)Q" // "tI(GAU)Q"	"G3O-34396"
"tI(UAU)D"		"tI(UAU)D"		"tI(UAU)D" // "tI(UAU)D"	"G3O-30064"
"tI(UAU)L"		"tI(UAU)L"		"tI(UAU)L" // "tI(UAU)L"	"G3O-32544"
"TID3"		"YIL144W"		"TID3" // "YIL144W"	"G3O-31394"
"TIF1"		"YKR059W"		"TIF1" // "YKR059W"	"G3O-32027"
"TIF11"		"YMR260C"		"TIF11" // "YMR260C"	"G3O-32935"
"TIF2"		"YJL138C"		"TIF2" // "YJL138C"	"G3O-31584"
"TIF3"		"YPR163C"		"TIF3" // "YPR163C"	"G3O-34292"
"TIF34"		"YMR146C"		"TIF34" // "YMR146C"	"G3O-32838"
"TIF35"		"YDR429C"		"TIF35" // "YDR429C"	"G3O-29968"
"TIF4631"		"YGR162W"		"TIF4631" // "YGR162W"	"G3O-30861"
"TIF4632"		"YGL049C"		"TIF4632" // "YGL049C"	"G3O-30559"
"TIF5"		"YPR041W"		"TIF5" // "YPR041W"	"G3O-34197"
"TIF6"		"YPR016C"		"TIF6" // "YPR016C"	"G3O-34176"
"TIM10"		"YHR005C-A"		"TIM10" // "YHR005C-A"	"G3O-31244"
"TIM11"		"YDR322C-A"		"TIM11" // "YDR322C-A"	"G3O-30090"
"TIM12"		"YBR091C"		"TIM12" // "YBR091C"	"G3O-29057"
"TIM13"		"YGR181W"		"TIM13" // "YGR181W"	"G3O-30873"
"TIM17"		"YJL143W"		"TIM17" // "YJL143W"	"G3O-31587"
"TIM18"		"YOR297C"		"TIM18" // "YOR297C"	"G3O-33782"
"TIM21"		"YGR033C"		"TIM21" // "YGR033C"	"G3O-30755"
"TIM22"		"YDL217C"		"TIM22" // "YDL217C"	"G3O-29598"
"TIM23"		"YNR017W"		"TIM23" // "YNR017W"	"G3O-33332"
"TIM44"		"YIL022W"		"TIM44" // "YIL022W"	"G3O-31297"
"TIM50"		"YPL063W"		"TIM50" // "YPL063W"	"G3O-33972"
"TIM54"		"YJL054W"		"TIM54" // "YJL054W"	"G3O-31517"
"TIM8"		"YJR135W-A"		"TIM8" // "YJR135W-A"	"G3O-31800"
"TIM9"		"YEL020W-A"		"TIM9" // "YEL020W-A"	"G3O-30387"
"TIP1"		"YBR067C"		"TIP1" // "YBR067C"	"G3O-29036"
"TIP20"		"YGL145W"		"TIP20" // "YGL145W"	"G3O-30639"
"TIP41"		"YPR040W"		"TIP41" // "YPR040W"	"G3O-34196"
"TIR1"		"YER011W"		"TIR1" // "YER011W"	"G3O-30198"
"TIR2"		"YOR010C"		"TIR2" // "YOR010C"	"G3O-33560"
"TIR3"		"YIL011W"		"TIR3" // "YIL011W"	"G3O-31288"
"TIR4"		"YOR009W"		"TIR4" // "YOR009W"	"G3O-33559"
"TIS11"		"YLR136C"		"TIS11" // "YLR136C"	"G3O-32276"
"tK(CUU)C"		"tK(CUU)C"		"tK(CUU)C" // "tK(CUU)C"	"G3O-29406"
"tK(CUU)D1"		"tK(CUU)D1"		"tK(CUU)D1" // "tK(CUU)D1"	"G3O-30065"
"tK(CUU)D2"		"tK(CUU)D2"		"tK(CUU)D2" // "tK(CUU)D2"	"G3O-30066"
"tK(CUU)E1"		"tK(CUU)E1"		"tK(CUU)E1" // "tK(CUU)E1"	"G3O-30373"
"tK(CUU)E2"		"tK(CUU)E2"		"tK(CUU)E2" // "tK(CUU)E2"	"G3O-30374"
"tK(CUU)F"		"tK(CUU)F"		"tK(CUU)F" // "tK(CUU)F"	"G3O-30511"
"tK(CUU)G1"		"tK(CUU)G1"		"tK(CUU)G1" // "tK(CUU)G1"	"G3O-30972"
"tK(CUU)G2"		"tK(CUU)G2"		"tK(CUU)G2" // "tK(CUU)G2"	"G3O-30973"
"tK(CUU)G3"		"tK(CUU)G3"		"tK(CUU)G3" // "tK(CUU)G3"	"G3O-30974"
"tK(CUU)I"		"tK(CUU)I"		"tK(CUU)I" // "tK(CUU)I"	"G3O-31466"
"tK(CUU)J"		"tK(CUU)J"		"tK(CUU)J" // "tK(CUU)J"	"G3O-31784"
"tK(CUU)K"		"tK(CUU)K"		"tK(CUU)K" // "tK(CUU)K"	"G3O-32080"
"tK(CUU)M"		"tK(CUU)M"		"tK(CUU)M" // "tK(CUU)M"	"G3O-32995"
"tK(CUU)P"		"tK(CUU)P"		"tK(CUU)P" // "tK(CUU)P"	"G3O-34341"
"tK(UUU)D"		"tK(UUU)D"		"tK(UUU)D" // "tK(UUU)D"	"G3O-30067"
"tK(UUU)G1"		"tK(UUU)G1"		"tK(UUU)G1" // "tK(UUU)G1"	"G3O-30975"
"tK(UUU)G2"		"tK(UUU)G2"		"tK(UUU)G2" // "tK(UUU)G2"	"G3O-30976"
"tK(UUU)K"		"tK(UUU)K"		"tK(UUU)K" // "tK(UUU)K"	"G3O-32081"
"tK(UUU)L"		"tK(UUU)L"		"tK(UUU)L" // "tK(UUU)L"	"G3O-32545"
"tK(UUU)O"		"tK(UUU)O"		"tK(UUU)O" // "tK(UUU)O"	"G3O-33865"
"tK(UUU)P"		"tK(UUU)P"		"tK(UUU)P" // "tK(UUU)P"	"G3O-34342"
"tK(UUU)Q"		"tK(UUU)Q"		"tK(UUU)Q" // "tK(UUU)Q"	"G3O-34397"
"TKL1"		"TKL1"		"TKL1" // "TKL1"	"YPR074C"
"TKL2"		"TKL2"		"TKL2" // "TKL2"	"YBR117C"
"tL(CAA)D"		"tL(CAA)D"		"tL(CAA)D" // "tL(CAA)D"	"G3O-30068"
"tL(CAA)G1"		"tL(CAA)G1"		"tL(CAA)G1" // "tL(CAA)G1"	"G3O-30977"
"tL(CAA)G3"		"tL(CAA)G3"		"tL(CAA)G3" // "tL(CAA)G3"	"G3O-30979"
"tL(CAA)K"		"tL(CAA)K"		"tL(CAA)K" // "tL(CAA)K"	"G3O-32082"
"tL(CAA)L"		"tL(CAA)L"		"tL(CAA)L" // "tL(CAA)L"	"G3O-32546"
"tL(CAA)M"		"tL(CAA)M"		"tL(CAA)M" // "tL(CAA)M"	"G3O-32996"
"tL(CAA)N"		"tL(CAA)N"		"tL(CAA)N" // "tL(CAA)N"	"G3O-33388"
"tL(GAG)G"		"tL(GAG)G"		"tL(GAG)G" // "tL(GAG)G"	"G3O-30980"
"tL(UAA)B1"		"tL(UAA)B1"		"tL(UAA)B1" // "tL(UAA)B1"	"G3O-29239"
"tL(UAA)B2"		"tL(UAA)B2"		"tL(UAA)B2" // "tL(UAA)B2"	"G3O-29240"
"tL(UAA)D"		"tL(UAA)D"		"tL(UAA)D" // "tL(UAA)D"	"G3O-30069"
"tL(UAA)K"		"tL(UAA)K"		"tL(UAA)K" // "tL(UAA)K"	"G3O-32083"
"tL(UAA)L"		"tL(UAA)L"		"tL(UAA)L" // "tL(UAA)L"	"G3O-32547"
"tL(UAA)N"		"tL(UAA)N"		"tL(UAA)N" // "tL(UAA)N"	"G3O-33389"
"tL(UAA)Q"		"tL(UAA)Q"		"tL(UAA)Q" // "tL(UAA)Q"	"G3O-34398"
"tL(UAG)J"		"tL(UAG)J"		"tL(UAG)J" // "tL(UAG)J"	"G3O-31786"
"tL(UAG)L1"		"tL(UAG)L1"		"tL(UAG)L1" // "tL(UAG)L1"	"G3O-32548"
"tL(UAG)L2"		"tL(UAG)L2"		"tL(UAG)L2" // "tL(UAG)L2"	"G3O-32549"
"TLC1"		"TLC1"		"TLC1" // "TLC1"	"G3O-29241"
"TLG1"		"YDR468C"		"TLG1" // "YDR468C"	"G3O-29995"
"TLG2"		"YOL018C"		"TLG2" // "YOL018C"	"G3O-33434"
"tM(CAU)C"		"tM(CAU)C"		"tM(CAU)C" // "tM(CAU)C"	"G3O-29408"
"tM(CAU)Q1"		"tM(CAU)Q1"		"tM(CAU)Q1" // "tM(CAU)Q1"	"G3O-34399"
"tM(CAU)Q2"		"tM(CAU)Q2"		"tM(CAU)Q2" // "tM(CAU)Q2"	"G3O-34400"
"TMA10"		"YLR327C"		"TMA10" // "YLR327C"	"G3O-32410"
"TMA108"		"YIL137C"		"TMA108" // "YIL137C"	"G3O-31388"
"TMA16"		"YOR252W"		"TMA16" // "YOR252W"	"G3O-33743"
"TMA17"		"YDL110C"		"TMA17" // "YDL110C"	"G3O-29511"
"TMA19"		"YKL056C"		"TMA19" // "YKL056C"	"G3O-31855"
"TMA20"		"YER007C-A"		"TMA20" // "YER007C-A"	"G3O-30353"
"TMA22"		"YJR014W"		"TMA22" // "YJR014W"	"G3O-31659"
"TMA23"		"YMR269W"		"TMA23" // "YMR269W"	"G3O-32942"
"TMA46"		"YOR091W"		"TMA46" // "YOR091W"	"G3O-33625"
"TMA64"		"YDR117C"		"TMA64" // "YDR117C"	"G3O-29717"
"TMA7"		"YLR262C-A"		"TMA7" // "YLR262C-A"	"G3O-32560"
"TMN2"		"YDR107C"		"TMN2" // "YDR107C"	"G3O-29709"
"TMN3"		"YER113C"		"TMN3" // "YER113C"	"G3O-30277"
"TMS1"		"YDR105C"		"TMS1" // "YDR105C"	"G3O-29707"
"TMT1"	"TAM1"	"TMT1"		"TMT1" // "TAM1" // "TMT1"	"YER175C"
"tN(GUU)C"		"tN(GUU)C"		"tN(GUU)C" // "tN(GUU)C"	"G3O-29409"
"tN(GUU)F"		"tN(GUU)F"		"tN(GUU)F" // "tN(GUU)F"	"G3O-30512"
"tN(GUU)G"		"tN(GUU)G"		"tN(GUU)G" // "tN(GUU)G"	"G3O-30981"
"tN(GUU)K"		"tN(GUU)K"		"tN(GUU)K" // "tN(GUU)K"	"G3O-32084"
"tN(GUU)L"		"tN(GUU)L"		"tN(GUU)L" // "tN(GUU)L"	"G3O-32550"
"tN(GUU)N1"		"tN(GUU)N1"		"tN(GUU)N1" // "tN(GUU)N1"	"G3O-33390"
"tN(GUU)N2"		"tN(GUU)N2"		"tN(GUU)N2" // "tN(GUU)N2"	"G3O-33391"
"tN(GUU)O1"		"tN(GUU)O1"		"tN(GUU)O1" // "tN(GUU)O1"	"G3O-33868"
"tN(GUU)O2"		"tN(GUU)O2"		"tN(GUU)O2" // "tN(GUU)O2"	"G3O-33869"
"tN(GUU)P"		"tN(GUU)P"		"tN(GUU)P" // "tN(GUU)P"	"G3O-34344"
"tN(GUU)Q"		"tN(GUU)Q"		"tN(GUU)Q" // "tN(GUU)Q"	"G3O-34401"
"TNA1"		"YGR260W"		"TNA1" // "YGR260W"	"G3O-30929"
"TOA1"		"YOR194C"		"TOA1" // "YOR194C"	"G3O-33703"
"TOA2"		"YKL058W"		"TOA2" // "YKL058W"	"G3O-31857"
"TOD6"		"YBL054W"		"TOD6" // "YBL054W"	"G3O-28952"
"TOF1"		"YNL273W"		"TOF1" // "YNL273W"	"G3O-33267"
"TOF2"		"YKR010C"		"TOF2" // "YKR010C"	"G3O-31987"
"TOK1"		"YJL093C"		"TOK1" // "YJL093C"	"G3O-31548"
"TOM1"		"YDR457W"		"TOM1" // "YDR457W"	"G3O-29985"
"TOM20"		"YGR082W"		"TOM20" // "YGR082W"	"G3O-30794"
"TOM22"		"YNL131W"		"TOM22" // "YNL131W"	"G3O-33151"
"TOM40"		"YMR203W"		"TOM40" // "YMR203W"	"G3O-32889"
"TOM5"		"YPR133W-A"		"TOM5" // "YPR133W-A"	"G3O-34325"
"TOM6"		"YOR045W"		"TOM6" // "YOR045W"	"G3O-33589"
"TOM7"		"YNL070W"		"TOM7" // "YNL070W"	"G3O-33100"
"TOM70"		"YNL121C"		"TOM70" // "YNL121C"	"G3O-33142"
"TOM71"		"YHR117W"		"TOM71" // "YHR117W"	"G3O-31159"
"TOP1"		"YOL006C"		"TOP1" // "YOL006C"	"G3O-33423"
"TOP2"		"YNL088W"		"TOP2" // "YNL088W"	"G3O-33117"
"TOP3"		"YLR234W"		"TOP3" // "YLR234W"	"G3O-32345"
"TOR1"		"YJR066W"		"TOR1" // "YJR066W"	"G3O-31699"
"TOR2"		"YKL203C"		"TOR2" // "YKL203C"	"G3O-31962"
"TOS1"		"YBR162C"		"TOS1" // "YBR162C"	"G3O-29112"
"TOS2"		"YGR221C"		"TOS2" // "YGR221C"	"G3O-30902"
"TOS3"		"YGL179C"		"TOS3" // "YGL179C"	"G3O-30666"
"TOS4"		"YLR183C"		"TOS4" // "YLR183C"	"G3O-32307"
"TOS6"		"YNL300W"		"TOS6" // "YNL300W"	"G3O-33288"
"TOS8"		"YGL096W"		"TOS8" // "YGL096W"	"G3O-30596"
"tP(UGG)L"		"tP(UGG)L"		"tP(UGG)L" // "tP(UGG)L"	"G3O-32551"
"tP(UGG)N1"		"tP(UGG)N1"		"tP(UGG)N1" // "tP(UGG)N1"	"G3O-33393"
"tP(UGG)N2"		"tP(UGG)N2"		"tP(UGG)N2" // "tP(UGG)N2"	"G3O-33394"
"tP(UGG)O1"		"tP(UGG)O1"		"tP(UGG)O1" // "tP(UGG)O1"	"G3O-33870"
"tP(UGG)O3"		"tP(UGG)O3"		"tP(UGG)O3" // "tP(UGG)O3"	"G3O-33872"
"tP(UGG)Q"		"tP(UGG)Q"		"tP(UGG)Q" // "tP(UGG)Q"	"G3O-34402"
"TPA1"		"YER049W"		"TPA1" // "YER049W"	"G3O-30228"
"TPC1"		"YGR096W"		"TPC1" // "YGR096W"	"G3O-30806"
"TPD3"		"YAL016W"		"TPD3" // "YAL016W"	"G3O-28828"
"TPI1"		"TPI1"		"TPI1" // "TPI1"	"YDR050C"
"TPK1"		"YJL164C"		"TPK1" // "YJL164C"	"G3O-31604"
"TPK2"		"YPL203W"		"TPK2" // "YPL203W"	"G3O-34095"
"TPK3"		"YKL166C"		"TPK3" // "YKL166C"	"G3O-31934"
"TPM1"		"YNL079C"		"TPM1" // "YNL079C"	"G3O-33108"
"TPM2"		"YIL138C"		"TPM2" // "YIL138C"	"G3O-31389"
"TPN1"		"YGL186C"		"TPN1" // "YGL186C"	"G3O-30671"
"TPO1"		"YLL028W"		"TPO1" // "YLL028W"	"G3O-32132"
"TPO2"		"YGR138C"		"TPO2" // "YGR138C"	"G3O-30843"
"TPO3"		"YPR156C"		"TPO3" // "YPR156C"	"G3O-34287"
"TPO4"		"YOR273C"		"TPO4" // "YOR273C"	"G3O-33763"
"TPO5"		"YKL174C"		"TPO5" // "YKL174C"	"G3O-31941"
"TPP1"		"YMR156C"		"TPP1" // "YMR156C"	"G3O-32846"
"TPS1"	"TSS1" // "GLC6" // "GGS1" // "FDP1" // "CIF1" // "BYP1" // "alpha,alpha-trehalose-phosphate synthase (UDP-forming)"	"TPS1"		"TPS1" // "TSS1" // "GLC6" // "GGS1" // "FDP1" // "CIF1" // "BYP1" // "alpha,alpha-trehalose-phosphate synthase (UDP-forming)" // "TPS1"	"YBR126C"
"TPS2"	"PFK3" // "HOG2" // "trehalose phosphatase"	"TPS2"		"TPS2" // "PFK3" // "HOG2" // "trehalose phosphatase" // "TPS2"	"YDR074W"
"TPS3"		"TPS3"		"TPS3" // "TPS3"	"YMR261C"
"TPT1"		"YOL102C"		"TPT1" // "YOL102C"	"G3O-33500"
"tQ(UUG)B"		"tQ(UUG)B"		"tQ(UUG)B" // "tQ(UUG)B"	"G3O-29242"
"tQ(UUG)C"		"tQ(UUG)C"		"tQ(UUG)C" // "tQ(UUG)C"	"G3O-29411"
"tQ(UUG)D1"		"tQ(UUG)D1"		"tQ(UUG)D1" // "tQ(UUG)D1"	"G3O-30071"
"tQ(UUG)D2"		"tQ(UUG)D2"		"tQ(UUG)D2" // "tQ(UUG)D2"	"G3O-30072"
"tQ(UUG)D3"		"tQ(UUG)D3"		"tQ(UUG)D3" // "tQ(UUG)D3"	"G3O-30073"
"tQ(UUG)E1"		"tQ(UUG)E1"		"tQ(UUG)E1" // "tQ(UUG)E1"	"G3O-30376"
"tQ(UUG)E2"		"tQ(UUG)E2"		"tQ(UUG)E2" // "tQ(UUG)E2"	"G3O-30377"
"tQ(UUG)H"		"tQ(UUG)H"		"tQ(UUG)H" // "tQ(UUG)H"	"G3O-31253"
"tQ(UUG)L"		"tQ(UUG)L"		"tQ(UUG)L" // "tQ(UUG)L"	"G3O-32552"
"tQ(UUG)Q"		"tQ(UUG)Q"		"tQ(UUG)Q" // "tQ(UUG)Q"	"G3O-34403"
