"Genes"	"Synonyms"	"Accession-1"	"Accession-2"	"Names"	"Object ID"
"TY1B-LR4"	"YLRWTy1-4 POL"	"YLR256W-B"	"YLR256W-C"	"TY1B-LR4" // "YLRWTy1-4 POL" // "YLR256W-B" // "YLR256W-C"	"G3O-42696"
"DPH7"	"G3O-5" // "RRT2" // "ERE1"	"YBR246W"	"YBR1634"	"DPH7" // "G3O-5" // "RRT2" // "ERE1" // "YBR246W" // "YBR1634"	"G-34532"
"TRM4"	"NCL1"	"YBL024W"	"YBL0437"	"TRM4" // "NCL1" // "YBL024W" // "YBL0437"	"G3O-28927"
"DPH5"		"YLR172C"	"L9470.17"	"DPH5" // "YLR172C" // "L9470.17"	"G-11958"
"15S_RRNA"		"15S_rRNA"		"15S_RRNA" // "15S_rRNA"	"G3O-34387"
"21S_RRNA"		"21S_rRNA"		"21S_RRNA" // "21S_rRNA"	"G3O-34388"
"AAC1"		"YMR056C"		"AAC1" // "YMR056C"	"G3O-32761"
"AAC3"		"YBR085W"		"AAC3" // "YBR085W"	"G3O-29052"
"AAD10"		"AAD10"		"AAD10" // "AAD10"	"YJR155W"
"AAD14"		"AAD14"		"AAD14" // "AAD14"	"YNL331C"
"AAD15"		"AAD15"		"AAD15" // "AAD15"	"YOL165C"
"AAD16"		"YFL057C"		"AAD16" // "YFL057C"	"G3O-30410"
"AAD3"		"AAD3"		"AAD3" // "AAD3"	"YCR107W"
"AAD4"		"AAD4"		"AAD4" // "AAD4"	"YDL243C"
"AAD6"		"AAD6"		"AAD6" // "AAD6"	"YFL056C"
"AAE3"	"PCS60"	"YBR222C"		"AAE3" // "PCS60" // "YBR222C"	"G3O-29157"
"AAH1"		"AAH1"		"AAH1" // "AAH1"	"YNL141W"
"AAP1"		"YHR047C"		"AAP1" // "YHR047C"	"G3O-31102"
"AAR2"		"YBL074C"		"AAR2" // "YBL074C"	"G3O-28966"
"AAT1"		"AAT1"		"AAT1" // "AAT1"	"YKL106W"
"AAT2"	"ASP5"	"AAT2"		"AAT2" // "ASP5" // "AAT2"	"YLR027C"
"ABD1"		"YBR236C"		"ABD1" // "YBR236C"	"G3O-29167"
"ABF1"		"YKL112W"		"ABF1" // "YKL112W"	"G3O-31897"
"ABF2"		"YMR072W"		"ABF2" // "YMR072W"	"G3O-32774"
"ABM1"		"YJR108W"		"ABM1" // "YJR108W"	"G3O-31732"
"ABP1"		"YCR088W"		"ABP1" // "YCR088W"	"G3O-29382"
"ABP140"		"YOR239W"		"ABP140" // "YOR239W"	"G3O-33735"
"ABZ1"		"ABZ1"		"ABZ1" // "ABZ1"	"YNR033W"
"ABZ2"	"YMR289W"	"YMR289W"		"ABZ2" // "YMR289W" // "YMR289W"	"G3O-84"
"ACA1"		"YER045C"		"ACA1" // "YER045C"	"G3O-30224"
"ACB1"		"YGR037C"		"ACB1" // "YGR037C"	"G3O-30758"
"ACC1"	"MTR7" // "FAS3" // "ABP2" // "biotin carboxylase"	"ACC1"		"ACC1" // "MTR7" // "FAS3" // "ABP2" // "biotin carboxylase" // "ACC1"	"YNR016C"
"ACE2"		"YLR131C"		"ACE2" // "YLR131C"	"G3O-32273"
"ACF2"		"YLR144C"		"ACF2" // "YLR144C"	"G3O-32281"
"ACF4"		"YJR083C"		"ACF4" // "YJR083C"	"G3O-31711"
"ACH1"		"ACH1"		"ACH1" // "ACH1"	"YBL015W"
"ACK1"		"YDL203C"		"ACK1" // "YDL203C"	"G3O-29586"
"ACM1"		"YPL267W"		"ACM1" // "YPL267W"	"G3O-34150"
"ACN9"		"YDR511W"		"ACN9" // "YDR511W"	"G3O-30031"
"ACO1"	"GLU1" // "aconitate hydratase"	"ACO1"		"ACO1" // "GLU1" // "aconitate hydratase" // "ACO1"	"YLR304C"
"ACO2"		"ACO2"		"ACO2" // "ACO2"	"YJL200C"
"ACP1"		"YKL192C"		"ACP1" // "YKL192C"	"G3O-31954"
"ACS1"	"FUN44" // "acetate-CoA ligase"	"ACS1"		"ACS1" // "FUN44" // "acetate-CoA ligase" // "ACS1"	"YAL054C"
"ACS2"		"ACS2"		"ACS2" // "ACS2"	"YLR153C"
"ACT1"		"YFL039C"		"ACT1" // "YFL039C"	"G3O-30423"
"ADA2"		"YDR448W"		"ADA2" // "YDR448W"	"G3O-29979"
"ADD37"		"YMR184W"		"ADD37" // "YMR184W"	"G3O-32872"
"ADD66"		"YKL206C"		"ADD66" // "YKL206C"	"G3O-31965"
"ADE1"		"ADE1"		"ADE1" // "ADE1"	"YAR015W"
"ADE12"	"BRA9"	"ADE12"		"ADE12" // "BRA9" // "ADE12"	"YNL220W"
"ADE13"	"BRA8" // "BRA1"	"ADE13"		"ADE13" // "BRA8" // "BRA1" // "ADE13"	"YLR359W"
"ADE16"		"ADE16"		"ADE16" // "ADE16"	"YLR028C"
"ADE17"		"ADE17"		"ADE17" // "ADE17"	"YMR120C"
"ADE2"		"ADE2"		"ADE2" // "ADE2"	"YOR128C"
"ADE3"		"ADE3"		"ADE3" // "ADE3"	"YGR204W"
"ADE4"	"ade4" // "G-464"	"ADE4"		"ADE4" // "ade4" // "G-464" // "ADE4"	"YMR300C"
"ADE5,7"		"ADE5,7"		"ADE5,7" // "ADE5,7"	"YGL234W"
"ADE6"		"ADE6"		"ADE6" // "ADE6"	"YGR061C"
"ADE8"		"ADE8"		"ADE8" // "ADE8"	"YDR408C"
"ADF1"		"YCL058W-A"		"ADF1" // "YCL058W-A"	"G3O-29424"
"ADH1"	"ADC1"	"ADH1"		"ADH1" // "ADC1" // "ADH1"	"YOL086C"
"ADH2"	"ADR2"	"ADH2"		"ADH2" // "ADR2" // "ADH2"	"YMR303C"
"ADH3"		"ADH3"		"ADH3" // "ADH3"	"YMR083W"
"ADH4"	"ZRG5" // "NRC465"	"ADH4"		"ADH4" // "ZRG5" // "NRC465" // "ADH4"	"YGL256W"
"ADH5"		"ADH5"		"ADH5" // "ADH5"	"YBR145W"
"ADH6"	"ADHVI"	"ADH6"		"ADH6" // "ADHVI" // "ADH6"	"YMR318C"
"ADH7"	"ADHVII"	"ADH7"		"ADH7" // "ADHVII" // "ADH7"	"YCR105W"
"ADI1"	"YMR009W"	"YMR009W"		"ADI1" // "YMR009W" // "YMR009W"	"G3O-32717"
"ADK1"	"AKY2" // "AKY1"	"ADK1"		"ADK1" // "AKY2" // "AKY1" // "ADK1"	"YDR226W"
"ADK2"	"PAK3" // "AKY3" // "adenylate kinase"	"ADK2"		"ADK2" // "PAK3" // "AKY3" // "adenylate kinase" // "ADK2"	"YER170W"
"ADO1"		"ADO1"		"ADO1" // "ADO1"	"YJR105W"
"ADP1"		"YCR011C"		"ADP1" // "YCR011C"	"G3O-29328"
"ADR1"		"YDR216W"		"ADR1" // "YDR216W"	"G3O-29797"
"ADY2"		"YCR010C"		"ADY2" // "YCR010C"	"G3O-29327"
"ADY3"		"YDL239C"		"ADY3" // "YDL239C"	"G3O-29616"
"ADY4"		"YLR227C"		"ADY4" // "YLR227C"	"G3O-32341"
"AEP1"		"YMR064W"		"AEP1" // "YMR064W"	"G3O-32766"
"AEP2"		"YMR282C"		"AEP2" // "YMR282C"	"G3O-32952"
"AEP3"		"YPL005W"		"AEP3" // "YPL005W"	"G3O-33924"
"AFG1"		"YEL052W"		"AFG1" // "YEL052W"	"G3O-30170"
"AFG2"		"YLR397C"		"AFG2" // "YLR397C"	"G3O-32461"
"AFG3"		"YER017C"		"AFG3" // "YER017C"	"G3O-30202"
"AFI1"		"YOR129C"		"AFI1" // "YOR129C"	"G3O-33653"
"AFR1"		"YDR085C"		"AFR1" // "YDR085C"	"G3O-29690"
"AFT1"		"YGL071W"		"AFT1" // "YGL071W"	"G3O-30574"
"AFT2"		"YPL202C"		"AFT2" // "YPL202C"	"G3O-34094"
"AGA1"		"YNR044W"		"AGA1" // "YNR044W"	"G3O-33351"
"AGA2"		"YGL032C"		"AGA2" // "YGL032C"	"G3O-30548"
"AGC1"		"YPR021C"		"AGC1" // "YPR021C"	"G3O-34181"
"AGE1"		"YDR524C"		"AGE1" // "YDR524C"	"G3O-30040"
"AGE2"		"YIL044C"		"AGE2" // "YIL044C"	"G3O-31315"
"AGP1"		"YCL025C"		"AGP1" // "YCL025C"	"G3O-29287"
"AGP2"		"YBR132C"		"AGP2" // "YBR132C"	"G3O-29087"
"AGP3"		"YFL055W"		"AGP3" // "YFL055W"	"G3O-30411"
"AGX1"	"alanine:glyoxylate aminotransferase"	"AGX1"		"AGX1" // "alanine:glyoxylate aminotransferase" // "AGX1"	"YFL030W"
"AHA1"		"YDR214W"		"AHA1" // "YDR214W"	"G3O-29796"
"AHC1"		"YOR023C"		"AHC1" // "YOR023C"	"G3O-33571"
"AHC2"		"YCR082W"		"AHC2" // "YCR082W"	"G3O-29378"
"AHP1"	"cTPxIII"	"AHP1"		"AHP1" // "cTPxIII" // "AHP1"	"YLR109W"
"AI1"		"Q0050"		"AI1" // "Q0050"	"G3O-34372"
"AI2"		"Q0055"		"AI2" // "Q0055"	"G3O-34373"
"AI3"		"Q0060"		"AI3" // "Q0060"	"G3O-34374"
"AI4"		"Q0065"		"AI4" // "Q0065"	"G3O-34375"
"AI5_ALPHA"		"Q0070"		"AI5_ALPHA" // "Q0070"	"G3O-34376"
"AI5_BETA"		"Q0075"		"AI5_BETA" // "Q0075"	"G3O-34377"
"AIF1"		"YNR074C"		"AIF1" // "YNR074C"	"G3O-33378"
"AIM1"		"YAL046C"		"AIM1" // "YAL046C"	"G3O-28853"
"AIM10"		"YER087W"		"AIM10" // "YER087W"	"G3O-30256"
"AIM11"		"YER093C-A"		"AIM11" // "YER093C-A"	"G3O-30355"
"AIM13"		"YFR011C"		"AIM13" // "YFR011C"	"G3O-30464"
"AIM14"		"YGL160W"		"AIM14" // "YGL160W"	"G3O-30649"
"AIM17"		"YHL021C"		"AIM17" // "YHL021C"	"G3O-31041"
"AIM18"		"YHR198C"		"AIM18" // "YHR198C"	"G3O-31226"
"AIM19"		"YIL087C"		"AIM19" // "YIL087C"	"G3O-31347"
"AIM2"		"YAL049C"		"AIM2" // "YAL049C"	"G3O-28856"
"AIM20"		"YIL158W"		"AIM20" // "YIL158W"	"G3O-31406"
"AIM21"		"YIR003W"		"AIM21" // "YIR003W"	"G3O-31424"
"AIM22"	"LIP3"	"YJL046W"		"AIM22" // "LIP3" // "YJL046W"	"G3O-31510"
"AIM23"		"YJL131C"		"AIM23" // "YJL131C"	"G3O-31580"
"AIM24"		"YJR080C"		"AIM24" // "YJR080C"	"G3O-31709"
"AIM25"		"YJR100C"		"AIM25" // "YJR100C"	"G3O-31728"
"AIM26"		"YKL037W"		"AIM26" // "YKL037W"	"G3O-31838"
"AIM29"		"YKR074W"		"AIM29" // "YKR074W"	"G3O-32038"
"AIM3"		"YBR108W"		"AIM3" // "YBR108W"	"G3O-29070"
"AIM32"		"YML050W"		"AIM32" // "YML050W"	"G3O-32647"
"AIM33"		"YML087C"		"AIM33" // "YML087C"	"G3O-32675"
"AIM34"		"YMR003W"		"AIM34" // "YMR003W"	"G3O-32714"
"AIM36"		"YMR157C"		"AIM36" // "YMR157C"	"G3O-32847"
"AIM37"		"YNL100W"		"AIM37" // "YNL100W"	"G3O-33128"
"AIM39"		"YOL053W"		"AIM39" // "YOL053W"	"G3O-33464"
"AIM4"		"YBR194W"		"AIM4" // "YBR194W"	"G3O-29136"
"AIM41"		"YOR215C"		"AIM41" // "YOR215C"	"G3O-33717"
"AIM43"		"YPL099C"		"AIM43" // "YPL099C"	"G3O-34002"
"AIM44"		"YPL158C"		"AIM44" // "YPL158C"	"G3O-34054"
"AIM45"		"YPR004C"		"AIM45" // "YPR004C"	"G3O-34166"
"AIM46"		"YHR199C"		"AIM46" // "YHR199C"	"G3O-31227"
"AIM5"		"YBR262C"		"AIM5" // "YBR262C"	"G3O-29186"
"AIM6"		"YDL237W"		"AIM6" // "YDL237W"	"G3O-29614"
"AIM7"		"YDR063W"		"AIM7" // "YDR063W"	"G3O-29670"
"AIM9"		"YER080W"		"AIM9" // "YER080W"	"G3O-30251"
"AIP1"		"YMR092C"		"AIP1" // "YMR092C"	"G3O-32792"
"AIR1"		"YIL079C"		"AIR1" // "YIL079C"	"G3O-31344"
"AIR2"		"YDL175C"		"AIR2" // "YDL175C"	"G3O-29563"
"AKL1"		"YBR059C"		"AKL1" // "YBR059C"	"G3O-29030"
"AKR1"		"YDR264C"		"AKR1" // "YDR264C"	"G3O-29834"
"AKR2"		"YOR034C"		"AKR2" // "YOR034C"	"G3O-33580"
"ALA1"		"YOR335C"		"ALA1" // "YOR335C"	"G3O-33810"
"ALB1"		"YJL122W"		"ALB1" // "YJL122W"	"G3O-31573"
"ALD2"		"ALD2"		"ALD2" // "ALD2"	"YMR170C"
"ALD3"		"ALD3"		"ALD3" // "ALD3"	"YMR169C"
"ALD4"	"ALDH2" // "ALD7" // "YOR374W"	"YOR374W"		"ALD4" // "ALDH2" // "ALD7" // "YOR374W" // "YOR374W"	"G-10422"
"ALD5"	"YER073W"	"YER073W"		"ALD5" // "YER073W" // "YER073W"	"G-10421"
"ALD6"	"YPL061W" // "ALD1"	"YPL061W"		"ALD6" // "YPL061W" // "ALD1" // "YPL061W"	"G-10420"
"ALE1"	"SLC4" // "LPT1" // "LCA1"	"YOR175C"		"ALE1" // "SLC4" // "LPT1" // "LCA1" // "YOR175C"	"G3O-33688"
"ALF1"		"YNL148C"		"ALF1" // "YNL148C"	"G3O-33166"
"ALG1"		"ALG1"		"ALG1" // "ALG1"	"YBR110W"
"ALG10"	"DIE2"	"ALG10"		"ALG10" // "DIE2" // "ALG10"	"YGR227W"
"ALG11"		"ALG11"		"ALG11" // "ALG11"	"YNL048W"
"ALG12"	"ECM39"	"ALG12"		"ALG12" // "ECM39" // "ALG12"	"YNR030W"
"ALG13"	"YGL047W"	"YGL047W"		"ALG13" // "YGL047W" // "YGL047W"	"G3O-28"
"ALG14"	"YBR070C"	"YBR070C"		"ALG14" // "YBR070C" // "YBR070C"	"G3O-29"
"ALG2"		"ALG2"		"ALG2" // "ALG2"	"YGL065C"
"ALG3"	"RHK1"	"ALG3"		"ALG3" // "RHK1" // "ALG3"	"YBL082C"
"ALG5"		"ALG5"		"ALG5" // "ALG5"	"YPL227C"
"ALG6"		"ALG6"		"ALG6" // "ALG6"	"YOR002W"
"ALG7"	"TUR1" // "UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosamin"	"ALG7"		"ALG7" // "TUR1" // "UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosamin" // "ALG7"	"YBR243C"
"ALG8"	"YOR29-18"	"ALG8"		"ALG8" // "YOR29-18" // "ALG8"	"YOR067C"
"ALG9"		"ALG9"		"ALG9" // "ALG9"	"YNL219C"
"ALK1"		"YGL021W"		"ALK1" // "YGL021W"	"G3O-30541"
"ALK2"		"YBL009W"		"ALK2" // "YBL009W"	"G3O-28915"
"ALO1"		"ALO1"		"ALO1" // "ALO1"	"YML086C"
"ALP1"		"YNL270C"		"ALP1" // "YNL270C"	"G3O-33264"
"ALR1"		"YOL130W"		"ALR1" // "YOL130W"	"G3O-33525"
"ALR2"		"YFL050C"		"ALR2" // "YFL050C"	"G3O-30415"
"ALT1"		"ALT1"		"ALT1" // "ALT1"	"YLR089C"
"ALT2"		"ALT2"		"ALT2" // "ALT2"	"YDR111C"
"ALY1"		"YKR021W"		"ALY1" // "YKR021W"	"G3O-31997"
"ALY2"		"YJL084C"		"ALY2" // "YJL084C"	"G3O-31541"
"AMA1"		"YGR225W"		"AMA1" // "YGR225W"	"G3O-30906"
"AMD1"	"AMD3"	"AMD1"		"AMD1" // "AMD3" // "AMD1"	"YML035C"
"AMD2"		"AMD2"		"AMD2" // "AMD2"	"YDR242W"
"AME1"		"YBR211C"		"AME1" // "YBR211C"	"G3O-29148"
"AMN1"		"YBR158W"		"AMN1" // "YBR158W"	"G3O-29108"
"AMS1"		"AMS1"		"AMS1" // "AMS1"	"YGL156W"
"ANB1"		"YJR047C"		"ANB1" // "YJR047C"	"G3O-31682"
"ANP1"	"MNN8" // "GEM3"	"ANP1"		"ANP1" // "MNN8" // "GEM3" // "ANP1"	"YEL036C"
"ANR2"		"YKL047W"		"ANR2" // "YKL047W"	"G3O-31848"
"ANS1"		"YHR126C"		"ANS1" // "YHR126C"	"G3O-31166"
"ANT1"		"YPR128C"		"ANT1" // "YPR128C"	"G3O-34265"
"AOS1"		"YPR180W"		"AOS1" // "YPR180W"	"G3O-34305"
"APA1"	"DTP1" // "ATP adenylyltransferase"	"APA1"		"APA1" // "DTP1" // "ATP adenylyltransferase" // "APA1"	"YCL050C"
"APA2"		"APA2"		"APA2" // "APA2"	"YDR530C"
"APC1"		"YNL172W"		"APC1" // "YNL172W"	"G3O-33185"
"APC11"		"YDL008W"		"APC11" // "YDL008W"	"G3O-29439"
"APC2"		"YLR127C"		"APC2" // "YLR127C"	"G3O-32269"
"APC4"		"YDR118W"		"APC4" // "YDR118W"	"G3O-29718"
"APC5"		"YOR249C"		"APC5" // "YOR249C"	"G3O-33741"
"APC9"		"YLR102C"		"APC9" // "YLR102C"	"G3O-32250"
"APD1"		"YBR151W"		"APD1" // "YBR151W"	"G3O-29102"
"APE1"	"API" // "YSC1" // "vacuolar aminopeptidase I"	"APE1"		"APE1" // "API" // "YSC1" // "vacuolar aminopeptidase I" // "APE1"	"YKL103C"
"APE2"	"YKL158W" // "LAP1" // "leucyl aminopeptidase"	"APE2"		"APE2" // "YKL158W" // "LAP1" // "leucyl aminopeptidase" // "APE2"	"YKL157W"
"APE3"	"APY1" // "aminopeptidase"	"APE3"		"APE3" // "APY1" // "aminopeptidase" // "APE3"	"YBR286W"
"APE4"		"YHR113W"		"APE4" // "YHR113W"	"G3O-31155"
"APJ1"		"YNL077W"		"APJ1" // "YNL077W"	"G3O-33106"
"APL1"		"YJR005W"		"APL1" // "YJR005W"	"G3O-31651"
"APL2"		"YKL135C"		"APL2" // "YKL135C"	"G3O-31913"
"APL3"		"YBL037W"		"APL3" // "YBL037W"	"G3O-28939"
"APL4"		"YPR029C"		"APL4" // "YPR029C"	"G3O-34188"
"APL5"		"YPL195W"		"APL5" // "YPL195W"	"G3O-34088"
"APL6"		"YGR261C"		"APL6" // "YGR261C"	"G3O-30930"
"APM1"		"YPL259C"		"APM1" // "YPL259C"	"G3O-34144"
"APM2"		"YHL019C"		"APM2" // "YHL019C"	"G3O-31039"
"APM3"		"YBR288C"		"APM3" // "YBR288C"	"G3O-29207"
"APM4"		"YOL062C"		"APM4" // "YOL062C"	"G3O-33470"
"APN1"		"YKL114C"		"APN1" // "YKL114C"	"G3O-31899"
"APN2"		"YBL019W"		"APN2" // "YBL019W"	"G3O-28922"
"APP1"		"YNL094W"		"APP1" // "YNL094W"	"G3O-33122"
"APQ12"		"YIL040W"		"APQ12" // "YIL040W"	"G3O-31312"
"APS1"		"YLR170C"		"APS1" // "YLR170C"	"G3O-32299"
"APS2"		"YJR058C"		"APS2" // "YJR058C"	"G3O-31691"
"APS3"		"YJL024C"		"APS3" // "YJL024C"	"G3O-31494"
"APT1"		"APT1"		"APT1" // "APT1"	"YML022W"
"APT2"		"APT2"		"APT2" // "APT2"	"YDR441C"
"AQR1"		"YNL065W"		"AQR1" // "YNL065W"	"G3O-33095"
"AQY1"		"YPR192W"		"AQY1" // "YPR192W"	"G3O-34314"
"AQY2"		"YLL052C"		"AQY2" // "YLL052C"	"G3O-32151"
"ARA1"		"ARA1"		"ARA1" // "ARA1"	"YBR149W"
"ARA2"	"YMR041C"	"YMR041C"		"ARA2" // "YMR041C" // "YMR041C"	"G3O-31"
"ARB1"		"YER036C"		"ARB1" // "YER036C"	"G3O-30217"
"ARC1"		"YGL105W"		"ARC1" // "YGL105W"	"G3O-30604"
"ARC15"		"YIL062C"		"ARC15" // "YIL062C"	"G3O-31330"
"ARC18"		"YLR370C"		"ARC18" // "YLR370C"	"G3O-32439"
"ARC19"		"YKL013C"		"ARC19" // "YKL013C"	"G3O-31822"
"ARC35"		"YNR035C"		"ARC35" // "YNR035C"	"G3O-33345"
"ARC40"		"YBR234C"		"ARC40" // "YBR234C"	"G3O-29165"
"ARD1"	"NAA10"	"ARD1"		"ARD1" // "NAA10" // "ARD1"	"YHR013C"
"ARE1"	"SAT2" // "sterol O-acyltransferase"	"ARE1"		"ARE1" // "SAT2" // "sterol O-acyltransferase" // "ARE1"	"YCR048W"
"ARE2"	"SAT1" // "sterol O-acyltransferase"	"ARE2"		"ARE2" // "SAT1" // "sterol O-acyltransferase" // "ARE2"	"YNR019W"
"ARF1"		"YDL192W"		"ARF1" // "YDL192W"	"G3O-29577"
"ARF2"		"YDL137W"		"ARF2" // "YDL137W"	"G3O-29536"
"ARF3"		"YOR094W"		"ARF3" // "YOR094W"	"G3O-33628"
"ARG1"	"ARG10"	"ARG1"		"ARG1" // "ARG10" // "ARG1"	"YOL058W"
"ARG2"	"HRB574" // "amino acid N-acetyltransferase"	"ARG2"		"ARG2" // "HRB574" // "amino acid N-acetyltransferase" // "ARG2"	"YJL071W"
"ARG3"	"argF"	"ARG3"		"ARG3" // "argF" // "ARG3"	"YJL088W"
"ARG4"		"ARG4"		"ARG4" // "ARG4"	"YHR018C"
"ARG5,6"		"ARG5,6"		"ARG5,6" // "ARG5,6"	"YER069W"
"ARG7"	"ECM40" // "acetylglutamate N-acetyltransferase"	"ARG7"		"ARG7" // "ECM40" // "acetylglutamate N-acetyltransferase" // "ARG7"	"YMR062C"
"ARG8"		"ARG8"		"ARG8" // "ARG8"	"YOL140W"
"ARG80"		"YMR042W"		"ARG80" // "YMR042W"	"G3O-32747"
"ARG81"		"YML099C"		"ARG81" // "YML099C"	"G3O-32684"
"ARG82"	"YDR173C" // "ARGRIII" // "IPK2" // "ARGR3"	"YDR173C"		"ARG82" // "YDR173C" // "ARGRIII" // "IPK2" // "ARGR3" // "YDR173C"	"G3O-24"
"ARH1"		"ARH1"		"ARH1" // "ARH1"	"YDR376W"
"ARI1"		"YGL157W"		"ARI1" // "YGL157W"	"G3O-30646"
"ARK1"		"YNL020C"		"ARK1" // "YNL020C"	"G3O-33058"
"ARL1"		"YBR164C"		"ARL1" // "YBR164C"	"G3O-29114"
"ARL3"		"YPL051W"		"ARL3" // "YPL051W"	"G3O-33964"
"ARN1"		"YHL040C"		"ARN1" // "YHL040C"	"G3O-31058"
"ARN2"		"YHL047C"		"ARN2" // "YHL047C"	"G3O-31063"
"ARO1"		"ARO1"		"ARO1" // "ARO1"	"YDR127W"
"ARO10"		"ARO10"		"ARO10" // "ARO10"	"YDR380W"
"ARO2"		"ARO2"		"ARO2" // "ARO2"	"YGL148W"
"ARO3"		"ARO3"		"ARO3" // "ARO3"	"YDR035W"
"ARO4"		"ARO4"		"ARO4" // "ARO4"	"YBR249C"
"ARO7"	"TYR7" // "OSM2" // "HGS1"	"ARO7"		"ARO7" // "TYR7" // "OSM2" // "HGS1" // "ARO7"	"YPR060C"
"ARO8"		"ARO8"		"ARO8" // "ARO8"	"YGL202W"
"ARO80"		"YDR421W"		"ARO80" // "YDR421W"	"G3O-29962"
"ARO9"		"ARO9"		"ARO9" // "ARO9"	"YHR137W"
"ARP1"		"YHR129C"		"ARP1" // "YHR129C"	"G3O-31168"
"ARP10"		"YDR106W"		"ARP10" // "YDR106W"	"G3O-29708"
"ARP2"		"YDL029W"		"ARP2" // "YDL029W"	"G3O-29455"
"ARP3"		"YJR065C"		"ARP3" // "YJR065C"	"G3O-31698"
"ARP4"		"YJL081C"		"ARP4" // "YJL081C"	"G3O-31538"
"ARP5"		"YNL059C"		"ARP5" // "YNL059C"	"G3O-33090"
"ARP6"		"YLR085C"		"ARP6" // "YLR085C"	"G3O-32236"
"ARP7"		"YPR034W"		"ARP7" // "YPR034W"	"G3O-34193"
"ARP8"		"YOR141C"		"ARP8" // "YOR141C"	"G3O-33662"
"ARP9"		"YMR033W"		"ARP9" // "YMR033W"	"G3O-32738"
"ARR1"		"YPR199C"		"ARR1" // "YPR199C"	"G3O-34319"
"ARR2"		"YPR200C"		"ARR2" // "YPR200C"	"G3O-34320"
"ARR3"		"YPR201W"		"ARR3" // "YPR201W"	"G3O-34321"
"ART10"		"YLR392C"		"ART10" // "YLR392C"	"G3O-32457"
"ART5"		"YGR068C"		"ART5" // "YGR068C"	"G3O-30782"
"ARV1"		"YLR242C"		"ARV1" // "YLR242C"	"G3O-32349"
"ARX1"		"YDR101C"		"ARX1" // "YDR101C"	"G3O-29704"
"ASA1"		"YPR085C"		"ASA1" // "YPR085C"	"G3O-34229"
"ASC1"		"YMR116C"		"ASC1" // "YMR116C"	"G3O-32811"
"ASE1"		"YOR058C"		"ASE1" // "YOR058C"	"G3O-33598"
"ASF1"		"YJL115W"		"ASF1" // "YJL115W"	"G3O-31569"
"ASF2"		"YDL197C"		"ASF2" // "YDL197C"	"G3O-29581"
"ASG1"		"YIL130W"		"ASG1" // "YIL130W"	"G3O-31381"
"ASG7"		"YJL170C"		"ASG7" // "YJL170C"	"G3O-31607"
"ASH1"		"YKL185W"		"ASH1" // "YKL185W"	"G3O-31948"
"ASI1"		"YMR119W"		"ASI1" // "YMR119W"	"G3O-32814"
"ASI2"		"YNL159C"		"ASI2" // "YNL159C"	"G3O-33175"
"ASI3"		"YNL008C"		"ASI3" // "YNL008C"	"G3O-33050"
"ASK1"		"YKL052C"		"ASK1" // "YKL052C"	"G3O-31853"
"ASK10"		"YGR097W"		"ASK10" // "YGR097W"	"G3O-30807"
"ASM4"		"YDL088C"		"ASM4" // "YDL088C"	"G3O-29496"
"ASN1"		"ASN1"		"ASN1" // "ASN1"	"YPR145W"
"ASN2"		"ASN2"		"ASN2" // "ASN2"	"YGR124W"
"ASP1"		"ASP1"		"ASP1" // "ASP1"	"YDR321W"
"ASP3-1"	"ASP3" // "asparaginase"	"ASP3-1"		"ASP3-1" // "ASP3" // "asparaginase" // "ASP3-1"	"YLR155C"
"ASP3-2"	"ASP3" // "asparaginase"	"ASP3-2"		"ASP3-2" // "ASP3" // "asparaginase" // "ASP3-2"	"YLR157C"
"ASP3-3"	"ASP3" // "asparaginase"	"ASP3-3"		"ASP3-3" // "ASP3" // "asparaginase" // "ASP3-3"	"YLR158C"
"ASP3-4"	"ASP3" // "asparaginase"	"ASP3-4"		"ASP3-4" // "ASP3" // "asparaginase" // "ASP3-4"	"YLR160C"
"ASR1"		"YPR093C"		"ASR1" // "YPR093C"	"G3O-34234"
"AST1"		"YBL069W"		"AST1" // "YBL069W"	"G3O-28964"
"AST2"		"YER101C"		"AST2" // "YER101C"	"G3O-30266"
"ATC1"		"YDR184C"		"ATC1" // "YDR184C"	"G3O-29773"
"ATE1"	"arginyl-tRNA-protein transferase"	"ATE1"		"ATE1" // "arginyl-tRNA-protein transferase" // "ATE1"	"YGL017W"
"ATF1"		"ATF1"		"ATF1" // "ATF1"	"YOR377W"
"ATF2"		"ATF2"		"ATF2" // "ATF2"	"YGR177C"
"ATG1"		"YGL180W"		"ATG1" // "YGL180W"	"G3O-30667"
"ATG10"		"YLL042C"		"ATG10" // "YLL042C"	"G3O-32143"
"ATG11"		"YPR049C"		"ATG11" // "YPR049C"	"G3O-34204"
"ATG12"		"YBR217W"		"ATG12" // "YBR217W"	"G3O-29154"
"ATG13"		"YPR185W"		"ATG13" // "YPR185W"	"G3O-34308"
"ATG14"		"YBR128C"		"ATG14" // "YBR128C"	"G3O-29083"
"ATG15"	"CVT17" // "AUT5"	"ATG15"		"ATG15" // "CVT17" // "AUT5" // "ATG15"	"YCR068W"
"ATG16"		"YMR159C"		"ATG16" // "YMR159C"	"G3O-32849"
"ATG17"		"YLR423C"		"ATG17" // "YLR423C"	"G3O-32483"
"ATG18"		"YFR021W"		"ATG18" // "YFR021W"	"G3O-30472"
