Product Name,Genes,Component coefficients,Gene products
CPX-762,YGR225W // YNL172W // YLR127C // YDR118W // YOR249C // YLR102C // YDL008W // YKL022C // YHR166C // YFR036W // YBL084C // YGL240W // YIR025W // YDR260C,TUPLE // YGR225W-MONOMER // 1 // TUPLE // YNL172W-MONOMER // 1 // TUPLE // YLR127C-MONOMER // 1 // TUPLE // YDR118W-MONOMER // 1 // TUPLE // YOR249C-MONOMER // 1 // TUPLE // YLR102C-MONOMER // 1 // TUPLE // YDL008W-MONOMER // 1 // TUPLE // YKL022C-MONOMER // 1 // TUPLE // YHR166C-MONOMER // 1 // TUPLE // YFR036W-MONOMER // 1 // TUPLE // YBL084C-MONOMER // 1 // TUPLE // YGL240W-MONOMER // 1 // TUPLE // YIR025W-MONOMER // 1 // TUPLE // YDR260C-MONOMER // 1,YGR225W-MONOMER // YNL172W-MONOMER // YLR127C-MONOMER // YDR118W-MONOMER // YOR249C-MONOMER // YLR102C-MONOMER // YDL008W-MONOMER // YKL022C-MONOMER // YHR166C-MONOMER // YFR036W-MONOMER // YBL084C-MONOMER // YGL240W-MONOMER // YIR025W-MONOMER // YDR260C-MONOMER
CPX-1947,YGL105W // YGL245W // YGR264C,TUPLE // YGL105W-MONOMER // 1 // TUPLE // YGL245W-MONOMER // 1 // TUPLE // YGR264C-MONOMER // 1,YGL105W-MONOMER // YGL245W-MONOMER // YGR264C-MONOMER
CPX-1151,YJL071W // YER069W,TUPLE // YJL071W-MONOMER // 1 // TUPLE // YER069W-MONOMER // 1,YJL071W-MONOMER // YER069W-MONOMER
CPX-1152,YMR042W // YML099C // YDR173C // YMR043W,TUPLE // YMR042W-MONOMER // 1 // TUPLE // YML099C-MONOMER // 1 // TUPLE // YDR173C-MONOMER // 1 // TUPLE // YMR043W-MONOMER // 1,YMR042W-MONOMER // YML099C-MONOMER // YDR173C-MONOMER // YMR043W-MONOMER
CPX-607,YDL029W // YJR065C // YBR234C // YNR035C // YLR370C // YKL013C // YIL062C,TUPLE // YDL029W-MONOMER // 1 // TUPLE // YJR065C-MONOMER // 1 // TUPLE // YBR234C-MONOMER // 1 // TUPLE // YNR035C-MONOMER // 1 // TUPLE // YLR370C-MONOMER // 1 // TUPLE // YKL013C-MONOMER // 1 // TUPLE // YIL062C-MONOMER // 1,YDL029W-MONOMER // YJR065C-MONOMER // YBR234C-MONOMER // YNR035C-MONOMER // YLR370C-MONOMER // YKL013C-MONOMER // YIL062C-MONOMER
CPX-3248,YMR119W // YNL159C // YNL008C,TUPLE // YMR119W-MONOMER // 1 // TUPLE // YNL159C-MONOMER // 1 // TUPLE // YNL008C-MONOMER // 1,YMR119W-MONOMER // YNL159C-MONOMER // YNL008C-MONOMER
CPX-1676,YGL180W // YPR185W // YLR423C // YPL166W // YDR022C,TUPLE // YGL180W-MONOMER // 2 // TUPLE // YPR185W-MONOMER // 2 // TUPLE // YLR423C-MONOMER // 2 // TUPLE // YPL166W-MONOMER // 2 // TUPLE // YDR022C-MONOMER // 2,YGL180W-MONOMER // YPR185W-MONOMER // YLR423C-MONOMER // YPL166W-MONOMER // YDR022C-MONOMER
CPX-361,YNL242W // YFR021W,TUPLE // YNL242W-MONOMER // 1 // TUPLE // YFR021W-MONOMER // 1,YNL242W-MONOMER // YFR021W-MONOMER
CPX-1848,YPL149W // YBR217W,TUPLE // YPL149W-MONOMER // 1 // TUPLE // YBR217W-MONOMER // 1,YPL149W-MONOMER // YBR217W-MONOMER
CPX-1849,YPL149W // YBR217W // YMR159C,TUPLE // YPL149W-MONOMER // 4 // TUPLE // YBR217W-MONOMER // 4 // TUPLE // YMR159C-MONOMER // 4,YPL149W-MONOMER // YBR217W-MONOMER // YMR159C-MONOMER
