Product Name,Genes,Component coefficients,Gene products
CPLX3O-31,YKL211C // YER090W,TUPLE // YKL211C-MONOMER // 1 // TUPLE // MONOMER3O-30 // 1,YKL211C-MONOMER // MONOMER3O-30
CPLX-6892,YPL111W,TUPLE // YPL111W-MONOMER // 3,YPL111W-MONOMER
CPLX-9342,YGL202W,TUPLE // YGL202W-MONOMER // 2,YGL202W-MONOMER
CPLX-7316,YLR027C,TUPLE // YLR027C-MONOMER // 2,YLR027C-MONOMER
CPLX3O-23,YJR137C // YFR030W,TUPLE // MONOMER3O-22 // 2 // TUPLE // MONOMER3O-21 // 2,MONOMER3O-22 // MONOMER3O-21
CPLX-8638,YLR028C,TUPLE // YLR028C-MONOMER // 2,YLR028C-MONOMER
CPLX3O-10518,YMR120C,TUPLE // YMR120C-MONOMER // 2,YMR120C-MONOMER
CPLX-8639,YGL234W,TUPLE // YGL234W-MONOMER // 2,YGL234W-MONOMER
CPLX3O-8,YNR016C // YDL141W,TUPLE // YNR016C-MONOMER // 4 // TUPLE // YDL141W-MONOMER // 4,YNR016C-MONOMER // YDL141W-MONOMER
CPLX-6954,YHR208W,TUPLE // YHR208W-MONOMER // 1,YHR208W-MONOMER
CPLX3O-887,YJR109C // YOR303W,TUPLE // YJR109C-MONOMER // 1 // TUPLE // YOR303W-MONOMER // 1,YJR109C-MONOMER // YOR303W-MONOMER
CPLX3O-78,YKL008C // YHL003C // YMR298W,TUPLE // MONOMER3O-373 // 1 // TUPLE // MONOMER3O-370 // 1 // TUPLE // MONOMER3O-702 // 1,MONOMER3O-373 // MONOMER3O-370 // MONOMER3O-702
Citramalate-lyases,,,
Inactive-citramalate-lyases,,,
CPLX3O-10541,YDL192W //YIL076W // YGL137W // YDL145C // YPL010W // YFR051C // YNL287W // YDR238C,TUPLE // YDL192W-MONOMER // 1 // TUPLE // CPLX3O-10539 // 1 // TUPLE //YIL076W-MONOMER // 1 // TUPLE // YGL137W-MONOMER // 1 // TUPLE // YDL145C-MONOMER // 1 // TUPLE // CPLX3O-10540 // 1 // TUPLE // YPL010W-MONOMER // 1 // TUPLE // YFR051C-MONOMER // 1 // TUPLE // YNL287W-MONOMER // 1 // TUPLE // YDR238C-MONOMER // 1,YDL192W-MONOMER //YIL076W-MONOMER // YGL137W-MONOMER // YDL145C-MONOMER // YPL010W-MONOMER // YFR051C-MONOMER // YNL287W-MONOMER // YDR238C-MONOMER
CPLX3O-10539,YDL145C // YGL137W // YIL076W,TUPLE // YDL145C-MONOMER // 1 // TUPLE // YGL137W-MONOMER // 1 // TUPLE //YIL076W-MONOMER // 1,YDL145C-MONOMER // YGL137W-MONOMER //YIL076W-MONOMER
