,seed_id
s_0346_c,C04895
s_0347_c,C00921
s_0347_m,C00921
s_0349_c,C04691
s_0349_m,C04691
s_0352_c,C01092
s_0352_e,C01092
s_0357_c,C00385
s_0357_e,C00385
s_0359_c,C00084
s_0359_e,C00084
s_0359_m,C00084
s_0362_c,C00033
s_0362_e,C00033
s_0362_er,C00033
s_0362_m,C00033
s_0362_n,C00033
s_0367_c,C00332
s_0367_m,C00332
s_0367_p,C00332
s_0372_m,C03939
s_0373_c,C00024
s_0373_m,C00024
s_0373_n,C00024
s_0373_p,C00024
s_0383_c,C00147
s_0383_e,C00147
s_0383_m,C00147
s_0386_c,C00212
s_0386_e,C00212
s_0389_c,C00946
s_0389_e,C00946
s_0390_c,C00054
s_0390_e,C00054
s_0390_m,C00054
s_0393_c,C03794
s_0394_c,C00008
s_0394_ce,C00008
s_0394_er,C00008
s_0394_erm,C00008
s_0394_g,C00008
s_0394_gm,C00008
s_0394_m,C00008
s_0394_n,C00008
s_0394_p,C00008
s_0394_v,C00008
s_0394_vm,C00008
s_0402_c,C00301
s_0402_n,C00301
s_0403_c,C04677
s_0405_c,C00499
s_0405_e,C00499
s_0407_c,C01551
s_0407_e,C01551
s_0409_c,C00689
s_0410_c,C00446
s_0411_c,C06156
s_0412_c,C00352
s_0412_e,C00352
s_0414_g,C05861
s_0415_c,C00620
s_0415_m,C00620
s_0417_c,C06735
s_0418_c,C01888
s_0419_c,C01342
s_0419_e,C01342
s_0419_m,C01342
s_0423_c,C00020
s_0423_ce,C00020
s_0423_e,C00020
s_0423_erm,C00020
s_0423_lp,C00020
s_0423_m,C00020
s_0423_n,C00020
s_0423_p,C00020
s_0427_c,C00108
s_0428_m,C02163
s_0430_m,C03402
s_0432_m,C02984
s_0434_c,C00002
s_0434_ce,C00002
s_0434_er,C00002
s_0434_erm,C00002
s_0434_g,C00002
s_0434_gm,C00002
s_0434_lp,C00002
s_0434_m,C00002
s_0434_n,C00002
s_0434_p,C00002
s_0434_v,C00002
s_0434_vm,C00002
s_0441_c,C00099
s_0442_c,C00665
s_0443_c,C05860
s_0443_g,C05860
s_0445_c,C00288
s_0445_e,C00288
s_0445_m,C00288
s_0445_n,C00288
s_0450_c,biomass
s_0451_c,C00120
s_0451_e,C00120
s_0453_c,C05921
s_0454_m,C04002
s_0455_c,C00169
s_0455_e,C00169
s_0456_c,C00011
s_0456_e,C00011
s_0456_er,C00011
s_0456_erm,C00011
s_0456_gm,C00011
s_0456_m,C00011
s_0456_mm,C00011
s_0456_n,C00011
s_0456_p,C00011
s_0456_vm,C00011
s_0465_m,C01209
s_0467_c,C00112
s_0467_erm,C00112
s_0467_n,C00112
s_0469_c,C00307
s_0469_erm,C00307
s_0474_c,C00570
s_0474_erm,C00570
s_0475_er,CHEBI:52961
s_0475_g,CHEBI:52961
s_0475_m,CHEBI:52961
s_0478_er,CHEBI:52962
s_0478_g,CHEBI:52962
s_0478_m,CHEBI:52962
s_0481_er,CHEBI:52979
s_0481_g,CHEBI:52979
s_0481_m,CHEBI:52979
s_0484_er,CHEBI:52980
s_0484_g,CHEBI:52980
s_0484_m,CHEBI:52980
s_0487_er,CHEBI:52371
s_0487_g,CHEBI:52371
s_0487_m,CHEBI:52371
s_0490_er,CHEBI:52372
s_0490_g,CHEBI:52372
s_0490_m,CHEBI:52372
s_0493_er,CHEBI:52373
s_0493_g,CHEBI:52373
s_0493_m,CHEBI:52373
s_0496_er,CHEBI:52374
s_0496_g,CHEBI:52374
s_0496_m,CHEBI:52374
s_0499_er,CHEBI:60256
s_0499_g,CHEBI:60256
s_0499_m,CHEBI:60256
s_0502_er,CHEBI:60384
s_0502_g,CHEBI:60384
s_0502_m,CHEBI:60384
s_0507_ce,CHEBI:31013
s_0507_er,CHEBI:31013
s_0507_erm,CHEBI:31013
s_0507_lp,CHEBI:31013
s_0509_c,C00461
s_0510_ce,C00734
s_0511_c,C00114
s_0511_ce,C00114
s_0511_e,C00114
s_0514_c,C00588
s_0514_e,C00588
s_0515_c,C00251
s_0516_c,C00417
s_0516_m,C00417
s_0522_c,C00158
s_0522_e,C00158
s_0522_m,C00158
s_0522_p,C00158
s_0526_c,C00055
s_0526_e,C00055
s_0526_erm,C00055
s_0526_m,C00055
s_0526_mm,C00055
s_0529_c,C00010
s_0529_ce,C00010
s_0529_er,C00010
s_0529_erm,C00010
s_0529_lp,C00010
s_0529_m,C00010
s_0529_mm,C00010
s_0529_n,C00010
s_0529_p,C00010
s_0538_c,C03263
s_0539_c,C00063
s_0539_erm,C00063
s_0539_m,C00063
s_0539_mm,C00063
s_0543_c,C00475
s_0543_e,C00475
s_0545_c,C00380
s_0545_e,C00380
s_0547_c,C00652
s_0548_c,C00216
s_0548_e,C00216
s_0550_c,C04666
s_0551_c,C00279
s_0551_m,C00279
s_0553_c,C00095
s_0553_e,C00095
s_0553_v,C00095
s_0555_c,C00354
s_0556_c,C01094
s_0557_c,C00085
s_0558_c,C00124
s_0558_e,C00124
s_0558_v,C00124
s_0560_e,C00333
s_0561_c,C00794
s_0561_e,C00794
s_0563_c,C00031
s_0563_e,C00031
s_0563_er,C00031
s_0563_v,C00031
s_0567_c,C00103
s_0567_e,C00103
s_0568_c,C00092
s_0568_e,C00092
s_0570_c,C00577
s_0571_c,C00159
s_0571_e,C00159
s_0571_er,C00159
s_0573_c,C00636
s_0573_e,C00636
s_0574_c,C00275
s_0574_e,C00275
s_0574_v,C00275
s_0575_c,C00121
s_0575_e,C00121
s_0577_c,C00199
s_0578_c,C00181
s_0578_e,C00181
s_0579_c,C00310
s_0580_c,C00310
s_0581_c,C00231
s_0582_c,C00206
s_0582_n,C00206
s_0584_c,C00360
s_0584_m,C00360
s_0586_c,C00131
s_0587_c,C00705
s_0587_n,C00705
s_0589_c,C00239
s_0590_c,C00458
s_0591_c,C00857
s_0591_n,C00857
s_0595_c,C01571
s_0595_e,C01571
s_0595_p,C01571
s_0605_p,C05274
s_0606_lp,C17432
s_0607_c,C06316
