x,Curve1
0.0384926,10.7512
1.76523,10.6435
2.48442,10.2916
2.98447,10.0191
3.48558,9.85929
4.29901,9.50566
4.76269,8.70747
5.2285,8.1348
5.75322,7.1475
6.24548,6.04802
6.73136,4.27197
7.24333,1.93152
7.73382,0.644101
8.19927,0.0338483
8.76462,0.0232215
9.17292,0.0155466
9.64404,0.00669094
10.1783,0.0342419
