x,Curve1
0.0355777,0.0109224
1.73287,0.014658
2.46079,0.0221293
3.05043,0.0324824
3.46716,0.0457529
4.23185,0.077844
4.71974,0.112959
5.20857,0.159032
5.76809,0.221471
6.22562,0.305933
6.75668,0.439634
7.21943,0.584364
7.7519,0.734501
8.26968,0.714791
8.75496,0.719772
9.27534,0.730197
9.72599,0.735213
10.2803,0.737383
